FEATURE,N_WELLA_FULL,N_WELLA_DEV,N_POPA,MU_WELLA,SG_WELLA,MU_POPA,Z_BA_FULL,Z_BA_DEV,KS_STAT,OOD_2SG_PCT,OOD_3SG_PCT,OUT_MINMAX_PCT
GR,492,392,329,33.3837736874593,7.2203780130082,29.3606060996353,-0.557196254901885,-0.936088116225815,0.361430301233104,1.21580547112462,0.60790273556231,0
DT,492,392,329,74.5930877999187,5.09139919840239,114.560063526292,7.84990022760623,9.45658537774796,1,100,100,100
NPHI,492,392,329,20.3711521408333,5.60394013168062,24.2744218739818,0.696522382721788,1.04858368797481,0.379722984159933,10.3343465045593,2.43161094224924,1.51975683890578
RHOB,492,392,329,2.45197880977642,0.0858237521901867,2.39661885577508,-0.645042340710867,-0.781221305409288,0.257487582474609,13.0699088145897,2.12765957446809,2.12765957446809
