POPULATION,BLOCK_LEN,N_TOTAL,N_VALID,N_INVALID,RIDGE_R2_LO,RIDGE_R2_HI,DR_R2_LO,DR_R2_HI,RIDGE_RMSE_LO,RIDGE_RMSE_HI,BOOT_SEED,IS_PRIMARY_BL
Pop_A,10,329,3000,0,-4.62398173547639,-1.57698557309727,0.584751914254673,0.758748042385306,0.355524458293438,0.469749893997808,2025,0
Pop_A,20,329,3000,0,-5.00699941975909,-1.541300765362,0.573222859906635,0.759794987966593,0.338653825860127,0.485741703732773,2025,1
Pop_A,30,329,3000,0,-5.2054098066722,-1.46220819150302,0.572109533458948,0.763747781580754,0.328225849160456,0.495905419097199,2025,0
Pop_A,40,329,3000,0,-5.20936951483602,-1.53262153108857,0.564823309796653,0.769053543800581,0.329382595539525,0.501251430834997,2025,0
Pop_B,10,236,3000,0,-8.87579436440328,-3.69471407388063,0.4337332221456,0.808206280495586,0.402432849885507,0.526609313931698,2025,0
Pop_B,20,236,3000,0,-9.50783130086871,-3.92553253049488,0.431245928899162,0.825376231029664,0.385352130802293,0.536625337991745,2025,1
Pop_B,30,236,3000,0,-9.52557873698286,-4.12083699955224,0.382414468320276,0.835579672430419,0.378775675558776,0.549364277832891,2025,0
Pop_B,40,236,3000,0,-9.02869537376622,-4.25712215790695,0.361601599887015,0.843764222479376,0.374118624832646,0.558636338213607,2025,0
