SEED,N_POPA,R2_POPA,RMSE_POPA,BIAS_POPA,N_POPB,R2_POPB,RMSE_POPB,BIAS_POPB,IS_CANONICAL,HP_LAMBDA,HP_HASH,RT_RMSE
7,329,-1.45751224083592,0.339262882718885,0.292260133273031,236,-3.37885894777286,0.386462238435388,0.356096641334306,0,0.001,spread=0.5000|lambda=0.001000,0.0643899561061325
42,329,-2.73306581051978,0.418139625763559,0.376843848630797,236,-5.47206649438391,0.4698379277852,0.441569446723222,1,0.001,spread=0.5000|lambda=0.001000,0.0623814720900863
123,329,-2.55118224366063,0.407826069107848,0.36520776438018,236,-5.23049174982129,0.460986014359796,0.433653514773182,0,0.001,spread=0.5000|lambda=0.001000,0.0642405734918736
