POPULATION,BLOCK_LEN,N_TOTAL,N_VALID,N_INVALID,RIDGE_R2_LO,RIDGE_R2_HI,DR_R2_LO,DR_R2_HI
Pop_A,20,329,3000,0,-5.19088064344061,-1.63655815714762,0.573222859906635,0.759794987966593
Pop_B,20,236,3000,0,-9.83693850146914,-4.07079977630012,0.431245928899162,0.825376231029664
