POPULATION,BLOCK_LEN,N_TOTAL,N_VALID,N_INVALID,RIDGE_R2_LO,RIDGE_R2_HI,DR_R2_LO,DR_R2_HI,RIDGE_RMSE_LO,RIDGE_RMSE_HI,BOOT_SEED,IS_PRIMARY_BL
Pop_A,10,329,3000,0,-4.81547668235114,-1.66420900595963,0.584751914254673,0.758748042385306,0.361899897294916,0.476528529800227,2025,0
Pop_A,20,329,3000,0,-5.19088064344061,-1.63655815714762,0.573222859906635,0.759794987966593,0.344931032343793,0.492381476951183,2025,1
Pop_A,30,329,3000,0,-5.39996699771653,-1.55665560945594,0.572109533458948,0.763747781580754,0.33493577458299,0.502976397933752,2025,0
Pop_A,40,329,3000,0,-5.36920165656075,-1.62847029098869,0.564823309796653,0.769053543800581,0.336078235271414,0.508618701578291,2025,0
Pop_B,10,236,3000,0,-9.20297191816888,-3.84400104143203,0.4337332221456,0.808206280495586,0.409476242152457,0.534098798185978,2025,0
Pop_B,20,236,3000,0,-9.83693850146914,-4.07079977630012,0.431245928899162,0.825376231029664,0.392589398582852,0.544244392327737,2025,1
Pop_B,30,236,3000,0,-9.84059066662292,-4.28436578892763,0.382414468320276,0.835579672430419,0.386080986162218,0.557177503798698,2025,0
Pop_B,40,236,3000,0,-9.34403216043457,-4.43863729636776,0.361601599887015,0.843764222479376,0.381217393957114,0.56672023731051,2025,0
