LAMBDA,OUTER_FOLD_FREQUENCY,IS_CANONICAL,CANONICAL_SPREAD,POLICY
0.001,1,1,0.5,FULL_DEV_SEGMENT_AWARE_STACKED_INNER_CV
0.01,0,0,0.5,FULL_DEV_SEGMENT_AWARE_STACKED_INNER_CV
0.1,0,0,0.5,FULL_DEV_SEGMENT_AWARE_STACKED_INNER_CV
1,2,0,0.5,FULL_DEV_SEGMENT_AWARE_STACKED_INNER_CV
10,2,0,0.5,FULL_DEV_SEGMENT_AWARE_STACKED_INNER_CV
