MODEL,STATUS,N,R2,RMSE,BIAS
ridge_stacker,PED_CORRECTED_FULL_REANALYSIS,236,-5.47206649438391,0.4698379277852,0.441569446723222
direct_ridge,POST_HOC_SENSITIVITY,236,0.650381094560156,0.109200352807475,0.0374111665930857
