MODEL,STATUS,N_EVAL,N_INPUT_OK,N_VP_GT_VS,N_VPVS_OK,N_NU_OK,N_G_OK,N_K_OK,N_E_OK,N_ALL_OK,ALL_OK_PCT
ridge_stacker,PED_CORRECTED_FULL_REANALYSIS,236,236,236,0,0,236,184,184,0,0
direct_ridge,POST_HOC_SENSITIVITY,236,236,236,236,236,236,236,236,236,100
