FEATURE,SOURCE_POPULATION,TARGET_POPULATION,N_SOURCE,N_TARGET,MEAN_A,MEAN_B,SD_A,Z_BA,KS_STAT,PCT_OUTSIDE_RANGE,PCT_BEYOND_3SIG
GR,Well-A,Pop-A,492,329,33.3837736874593,29.3606060996353,7.2203780130082,-0.557196254901885,0.361430301233104,0,0.60790273556231
DT,Well-A,Pop-A,492,329,74.5930877999187,114.560063526292,5.09139919840239,7.84990022760623,1,100,100
NPHI,Well-A,Pop-A,492,329,20.3711521408333,24.2744218739818,5.60394013168062,0.696522382721788,0.379722984159933,1.51975683890578,2.43161094224924
RHOB,Well-A,Pop-A,492,329,2.45197880977642,2.39661885577508,0.0858237521901867,-0.645042340710867,0.257487582474609,2.12765957446809,2.12765957446809
