BLOCK_LEN,CONTRAST,MEAN_DELTA_R2,CI_LO_2p5,CI_HI_97p5,P_DELTA_LE_ZERO,N_VALID
10,R2_Direct_minus_R2_Stacker,3.64992234484366,2.35017615538998,5.47610680630209,0,3000
20,R2_Direct_minus_R2_Stacker,3.7533332828673,2.30593916063122,5.87350908940037,0,3000
30,R2_Direct_minus_R2_Stacker,3.78462474935809,2.21655890814854,6.08470394646767,0,3000
40,R2_Direct_minus_R2_Stacker,3.77567723680473,2.25997384701767,6.09796457201873,0,3000
