MODEL,ANALYSIS_STATUS,N_EVALUATED,N_VP_GT_VS,N_VPVS_OK,N_NU_OK,N_G_OK,N_K_OK,N_E_OK,N_ALL_OK,ALL_OK_PCT,SCREEN_LABEL
PNN,PRESPECIFIED_BASE,236,236,0,0,236,171,171,0,0,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
MLFFNN,PRESPECIFIED_BASE,236,224,51,51,236,169,181,51,21.6101694915254,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
DFFNN,PRESPECIFIED_BASE,236,4,0,0,236,0,232,0,0,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
CNN1D,PRESPECIFIED_BASE,236,0,0,0,236,0,236,0,0,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
Ridge_stacker,PRESPECIFIED_PRIMARY,236,236,0,0,236,184,184,0,0,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
Direct_Ridge,POST_HOC_SENSITIVITY,236,236,236,236,236,236,236,236,100,APPLICATION_SPECIFIC_SEDIMENTARY_ROCK_SCREEN
