FORMULA,VERIFICATION_STATUS
Vp_km_s = 304.8 / DT_us_ft,VERIFIED
G_GPa = rho_g_cm3 * Vs_km_s^2,VERIFIED
K_GPa = rho_g_cm3 * (Vp^2 - 4Vs^2/3),VERIFIED
nu = (Vp^2 - 2Vs^2) / (2*(Vp^2 - Vs^2)),VERIFIED
E_GPa = 2*G*(1+nu),VERIFIED
1 g/cm3*(km/s)^2 = 1 GPa,VERIFIED
