MODEL,ANALYSIS_STATUS,N,R2,RMSE_km_s,MAE_km_s,BIAS_km_s,MED_AE_km_s,EXT_STATUS
PNN,PRESPECIFIED_BASE,329,-3.33873063809552,0.450785405920024,0.414579076496486,0.413269730489849,0.396152442602885,NEGATIVE_R2
MLFFNN,PRESPECIFIED_BASE,329,-3.50387249840918,0.459284243853158,0.345344497661412,0.316621611023953,0.277865622733994,NEGATIVE_R2
DFFNN,PRESPECIFIED_BASE,329,-214.605366687537,3.1777394569246,2.94759203074535,2.94759203074535,2.83388910339459,NEGATIVE_R2
CNN1D,PRESPECIFIED_BASE,329,-142.118055780977,2.58902185804751,2.48819032322656,2.48819032322656,2.51140290855619,NEGATIVE_R2
Ridge_stacker,PRESPECIFIED_PRIMARY,329,-2.73306581051975,0.418139625763559,0.379435756574886,0.376843848630797,0.361132136764985,NEGATIVE_R2
Direct_Ridge,POST_HOC_SENSITIVITY,329,0.683093399960209,0.121829972212519,0.090385947077516,-0.0111759382501208,0.0700886721257097,POSITIVE_R2
