MODEL,STATUS,R2_POPA,R2_NEGATIVE
PNN,PRESPECIFIED_BASE,-3.33873063809552,1
MLFFNN,PRESPECIFIED_BASE,-3.50387249840918,1
DFFNN,PRESPECIFIED_BASE,-214.605366687537,1
CNN1D,PRESPECIFIED_BASE,-142.118055780977,1
Ridge_stacker,PRESPECIFIED_PRIMARY,-2.73306581051975,1
Direct_Ridge,POST_HOC_SENSITIVITY,0.683093399960209,0
