MODEL,STATUS,N,R2,RMSE,BIAS
ridge_stacker,V5_CORRECTED_REANALYSIS,329,-2.61615387472984,0.411539906205941,0.369942997433922
direct_ridge,POST_HOC_SENSITIVITY,329,0.68309339996021,0.121829972212519,-0.0111759382501203
