SEED,N_POPA,R2_POPA,RMSE_POPA,BIAS_POPA,N_POPB,R2_POPB,RMSE_POPB,BIAS_POPB,IS_CANONICAL,HP_LAMBDA,HP_HASH,RT_RMSE
7,329,-1.00959740468013,0.306791295751202,0.255652383524509,236,-2.6138980655862,0.351086828309369,0.318605088985691,0,0.001,spread=0.5000|lambda=0.001000,0.0637511531888269
42,329,-2.61615387472984,0.411539906205941,0.369942997433922,236,-5.27084955040772,0.462476615122435,0.433863779257003,1,0.001,spread=0.5000|lambda=0.001000,0.062293365262908
123,329,-2.5512388583922,0.407829319978941,0.365440275758136,236,-5.2214711033236,0.460652180507917,0.43317521018402,0,0.001,spread=0.5000|lambda=0.001000,0.0644335596665859
