MODEL,STATUS,N,R2,RMSE,BIAS
ridge_stacker,V5_CORRECTED_REANALYSIS,236,-5.27084955040772,0.462476615122435,0.433863779257003
direct_ridge,POST_HOC_SENSITIVITY,236,0.650381094560156,0.109200352807475,0.0374111665930857
