POPULATION,BLOCK_LEN,N_TOTAL,N_VALID,N_INVALID,RIDGE_R2_LO,RIDGE_R2_HI,DR_R2_LO,DR_R2_HI
Pop_A,20,329,3000,0,-5.00699941975909,-1.541300765362,0.573222859906635,0.759794987966593
Pop_B,20,236,3000,0,-9.50783130086871,-3.92553253049488,0.431245928899162,0.825376231029664
